id,Movie,Production Company
1158,5481,15191
1159,2675,9195
1160,97618,285
1161,31672,2400
1162,365065,54574
1163,5048,1832
1164,27095,5358
1165,4147,80
1166,211928,10845
1167,101669,3052
1168,128241,16265
1169,271404,78752
1170,85435,18942
1171,327,11563
1172,99329,68399
1173,93511,81829
1174,29471,4606
1175,438643,86166
1176,21193,68432
1177,39230,3153
1178,9474,218
1179,85644,4
1180,14145,5975
1181,214,35
1182,43935,1172
1183,53128,8342
1184,322148,23868
1185,6522,33
1186,253251,8530
1187,45610,11958
1188,4982,7295
1189,45964,441
1190,218329,8690
1191,13991,8411
1192,8014,21645
1193,445,7025
1194,42216,11333
1195,83079,78439
1196,156356,82843
1197,90319,14599
1198,37911,13382
1199,336669,16889
1200,70575,7405
1201,44129,705
1202,773,12808
1203,17927,7947
1204,67174,57662
1205,362541,11801
1206,55534,12200
1207,76341,79
1208,139521,12154
1209,41903,64655
1210,59349,3823
1211,108345,6194
1212,430365,23497
1213,157829,738
1214,52803,10250
1215,38244,307
1216,55681,95698
1217,11351,738
1218,82501,10441
1219,108634,13260
1220,20200,2612
1221,71701,1314
1222,16351,12800
1223,24767,2
1224,13354,2785
1225,228968,48191
1226,186997,17298
1227,79372,8411
1228,14467,3661
1229,115782,10427
1230,12593,5067
1231,14011,2785
1232,12796,8913
1233,14050,16061
1234,38920,14590
1235,22582,19
1236,51054,4
1237,133941,1406
1238,300,11911
1239,19505,2230
1240,43855,6
1241,131903,10663
1242,255948,44989
1243,4825,28205
1244,82098,22710
1245,53648,6620
1246,54093,8004
1247,262988,14773
1248,18569,1553
1249,4592,35445
1250,47792,7254
1251,15677,5612
1252,22899,881
1253,25598,42345
1254,21250,33
1255,10972,2065
1256,163814,5723
1257,330878,49055
1258,320318,790
1259,10044,3054
1260,257447,68260
1261,53150,12360
1262,3537,8411
1263,259695,29313
1264,73612,40044
1265,60285,441
1266,41378,5798
1267,14819,175
1268,59569,525
1269,332283,45015
1270,460870,5996
1271,216374,13894
1272,17111,3255
1273,20034,7981
1274,31417,13437
1275,814,276
1276,21132,1566
1277,28062,17513
1278,57005,86711
1279,8869,79
1280,9885,2806
1281,407559,79563
1282,42329,4051
1283,242310,24972
1284,45384,6755
1285,189197,6068
1286,344039,55256
1287,73348,4
1288,413998,43
1289,19348,3635
1290,333484,79
1291,248543,13969
1292,14977,3551
1293,12796,4
1294,83430,12352
1295,15261,33
1296,1599,23488
1297,74437,6
1298,97024,8411
1299,18282,11043
1300,18690,8411
1301,21208,4253
1302,747,53047
1303,13280,2448
1304,194853,8479
1305,325133,17393
1306,125413,4
1307,333091,51788
1308,157,4
1309,37206,10969
1310,11358,8411
1311,253251,6639
1312,20536,3795
1313,18843,1302
1314,293660,306
1315,319096,53716
1316,16137,3144
1317,215379,8275
1318,9950,95294
1319,53648,6618
1320,10550,2755
1321,18897,11776
1322,27480,8081
1323,237584,18240
1324,81274,25438
1325,254193,14066
1326,27507,8411
1327,38718,87839
1328,336804,5358
1329,318922,60323
1330,231145,6805
1331,1833,497
1332,329724,12096
1333,121791,26890
1334,4024,142
1335,13678,2668
1336,83666,23449
1337,61121,5358
1338,50506,6425
1339,69103,61
1340,177979,46
1341,24657,7446
1342,330459,2
1343,22140,8109
1344,101998,2514
1345,56292,11461
1346,49314,41
1347,13017,3294
1348,110887,5488
1349,290555,5106
1350,8470,23019
1351,11415,1950
1352,57749,43529
1353,84942,23991
1354,88273,119
1355,102197,76043
1356,60106,40984
1357,43645,42084
1358,1896,777
1359,11692,79
1360,312831,6901
1361,348025,189
1362,254679,9300
1363,345489,55969
1364,45098,21966
1365,38322,306
1366,45671,11561
1367,10193,3
1368,138222,16947
1369,12618,5
1370,5915,838
1371,280674,26855
1372,9593,55528
1373,96724,10146
1374,137193,8676
1375,67822,10313
1376,176,55405
1377,44578,7252
1378,121674,2372
1379,88794,23
1380,366170,21592
1381,10992,1757
1382,11302,13309
1383,660,7576
1384,30175,4255
1385,115023,6194
1386,45431,22023
1387,23223,8
1388,16436,14877
1389,277355,43906
1390,200481,3
1391,273481,3528
1392,76494,1632
1393,21145,20240
1394,384682,7293
1395,11338,33
1396,25376,9335
1397,26125,6956
1398,118283,6194
1399,347096,14787
1400,2666,12
1401,258751,65604
1402,127091,16353
1403,20047,69353
1404,795,6194
1405,773,43
1406,77625,26687
1407,41479,3870
1408,199985,13561
1409,46094,1382
1410,29959,5
1411,63578,163
1412,245692,68546
1413,10890,5848
1414,10671,33
1415,36635,6194
1416,353326,80468
1417,336050,12520
1418,168994,10640
1419,61580,56801
1420,63578,3324
1421,11837,5016
1422,71125,1444
1423,300424,2785
1424,74549,3291
1425,338100,9217
1426,81182,39734
1427,34084,5410
1428,35558,3213
1429,33788,829
1430,48805,6246
1431,408272,23457
1432,229296,10427
1433,283384,21882
1434,63472,4870
1435,8869,172
1436,284052,2
1437,215743,684
1438,220287,77519
1439,51800,22971
1440,70881,8411
1441,211166,32769
1442,61984,3363
1443,9550,724
1444,197057,14651
1445,44591,14234
1446,236737,13287
1447,104041,3535
1448,76714,15843
1449,159770,12142
1450,41166,21590
1451,49852,24015
1452,946,33
1453,83346,11510
1454,48250,82005
1455,142881,5120
1456,168496,16553
1457,2731,1180
1458,11589,3057
1459,61934,441
1460,64215,5369
1461,111042,306
1462,9541,14
1463,143092,3468
1464,77117,7036
1465,43266,306
1466,445727,87500
1467,111839,3268
1468,21966,6349
1469,14369,1171
1470,2143,981
1471,36094,8411
1472,21413,7161
1473,30141,2315
1474,179603,6
1475,240913,23384
1476,356296,65517
1477,358511,62945
1478,317,168
1479,157409,21546
1480,359746,90792
1481,12432,2441
1482,393445,83151
1483,10320,49325
1484,161545,2441
1485,8842,53905
1486,13495,2975
1487,293982,10826
1488,267310,50820
1489,322548,10039
1490,42457,20460
1491,210047,3095
1492,140509,27719
1493,13956,10159
1494,11645,1657
1495,146,20289
1496,118134,3245
1497,118293,6623
1498,3072,1312
1499,39127,2268
1500,71701,441
1501,289183,25491
1502,14457,22901
1503,61361,3823
1504,48836,52149
1505,13162,18985
1506,55612,7940
1507,5552,23872
1508,104211,5488
1509,38761,15185
1510,31011,796
1511,290379,1442
1512,21721,1087
1513,16839,8833
1514,114172,33398
1515,42683,6194
1516,45132,14406
1517,83191,11713
1518,58985,17218
1519,56800,5779
1520,86643,17102
1521,187596,737
1522,72545,12
1523,8491,1648
1524,374473,856
1525,205864,75332
1526,14525,3362
1527,36634,8411
1528,72421,17052
1529,5494,19259
1530,28178,66328
1531,145135,7625
1532,10193,2
1533,14459,7979
1534,13495,306
1535,71668,7405
1536,32044,441
1537,19995,444
1538,37003,11522
1539,11056,357
1540,922,506
1541,19495,3622
1542,47878,898
1543,60599,24933
1544,339527,7493
1545,11633,882
1546,51800,22972
1547,58372,2492
1548,1421,53
1549,11524,20042
1550,634,14
1551,2567,54502
1552,83890,65144
1553,50934,688
1554,44282,20840
1555,75880,4
1556,279096,34911
1557,14868,3009
1558,345775,18367
1559,1924,51862
1560,174958,6762
1561,70586,10405
1562,22683,56365
1563,98631,3656
1564,103539,71333
1565,25143,1267
1566,259593,306
1567,47194,29491
1568,52859,1281
1569,34899,4606
1570,81937,17659
1571,300601,29566
1572,86321,13970
1573,17978,47557
1574,173494,42045
1575,2140,973
1576,47143,74216
1577,11205,2521
1578,13440,33
1579,41597,11865
1580,32234,6194
1581,9902,53350
1582,401164,90399
1583,13836,2
1584,293863,22107
1585,3037,451
1586,31005,41252
1587,8930,6111
1588,156627,84368
1589,51736,7249
1590,10857,19261
1591,11972,21000
1592,18620,89522
1593,33107,51901
1594,227964,5591
1595,8398,2481
1596,46592,5120
1597,125623,7811
1598,14069,822
1599,80720,6
1600,44655,85947
1601,30163,13192
1602,244458,264
1603,227700,694
1604,61813,15709
1605,13162,18984
1606,92796,60
1607,76829,10522
1608,229182,26421
1609,17708,9195
1610,128246,11589
1611,2758,258
1612,30921,15378
1613,13346,306
1614,42040,4
1615,44682,1241
1616,9639,3319
1617,383064,11199
1618,14753,164
1619,346723,56779
1620,12220,97
1621,28068,9213
1622,14069,4288
1623,79611,19802
1624,109491,32184
1625,245700,9349
1626,33660,5333
1627,1058,652
1628,101998,11576
1629,217923,3393
1630,72013,53504
1631,140595,71837
1632,9787,559
1633,25330,477
1634,899,4759
1635,228290,29223
1636,120854,21918
1637,67748,7584
1638,132939,56442
1639,43849,8411
1640,11236,6194
1641,27904,25818
1642,44751,7610
1643,125229,881
1644,36929,6194
1645,19203,3938
1646,3053,8411
1647,272878,83397
1648,118408,3196
1649,157424,19402
1650,4986,1138
1651,27349,14771
1652,6171,97
1653,67696,4376
1654,245917,6452
1655,61580,74760
1656,51406,17027
1657,221732,14602
1658,59296,7419
1659,233423,20183
1660,240832,5358
1661,119409,1024
1662,127585,7505
1663,37653,603
1664,315872,2441
1665,379019,5870
1666,966,219
1667,97365,729
1668,26153,6583
1669,84348,15156
1670,49273,7159
1671,32720,29229
1672,118293,14542
1673,53219,61
1674,291351,32554
1675,125926,17593
1676,328111,6452
1677,79008,60
1678,16373,4
1679,73043,9177
1680,13569,2776
1681,24163,43934
1682,33623,28064
1683,284052,420
1684,102630,3608
1685,107985,33
1686,62728,2452
1687,241639,2269
1688,58159,3166
1689,149910,19649
1690,29510,10324
1691,1579,9195
1692,126319,2675
1693,48706,12
1694,15310,8263
1695,30876,55576
1696,85327,18203
1697,82737,318
1698,7547,2266
1699,66193,25262
1700,131366,70277
1701,9651,76462
1702,50008,3449
1703,137683,14912
